locale,post_title,post_slug,post_url,status,current_image_url,hero_matches_delivery,list_cards_match_api,og_matches_primary,alt_matches_delivery,initial_stale_then_revalidated,cross_language_related_count
en,The Registration Season Checklist for Youth Clubs,registration-season-checklist-youth-sports,https://widdo.co/en/blog/registration-season-checklist-youth-sports,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/registration-season-checklist-youth-sports-en-cover.webp?v3,True,True,True,True,False,2
en,The Group Text Is Not a Communication System,parent-communication-sports-club,https://widdo.co/en/blog/parent-communication-sports-club,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/parent-communication-sports-club-en-cover.webp?v3,True,True,True,True,False,2
pt,O checklist de matrícula de temporada para clubes de base,checklist-de-matricula-temporada-clube-esportivo,https://widdo.co/pt/blog/checklist-de-matricula-temporada-clube-esportivo,PORTADA_ANTERIOR_FUERA_DEL_ZIP,https://api.widdo.co/storage/blog/images/checklist-de-matricula-temporada-clube-esportivo.jpg?v=2,False,True,True,,False,2
pt,O que automatizar primeiro num clube esportivo,o-que-automatizar-primeiro-no-clube-esportivo,https://widdo.co/pt/blog/o-que-automatizar-primeiro-no-clube-esportivo,PORTADA_ANTERIOR_FUERA_DEL_ZIP,https://api.widdo.co/storage/blog/images/o-que-automatizar-primeiro-no-clube-esportivo.jpg?v=2,False,True,True,,False,2
pt,Como reduzir a inadimplência de mensalidades na sua escolinha,reduzir-inadimplencia-mensalidades-escolinha,https://widdo.co/pt/blog/reduzir-inadimplencia-mensalidades-escolinha,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/reduzir-inadimplencia-mensalidades-escolinha-pt-capa.webp?v3,True,True,True,True,False,0
pt,"Pix, boleto ou cartão: como receber as mensalidades do clube",pix-boleto-cartao-mensalidades-clube-esportivo,https://widdo.co/pt/blog/pix-boleto-cartao-mensalidades-clube-esportivo,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/pix-boleto-cartao-mensalidades-clube-esportivo-pt-capa.webp?v3,True,True,True,True,False,0
pt,Evasão de alunos: os sinais que aparecem semanas antes da desistência,evasao-de-alunos-escolinha-sinais,https://widdo.co/pt/blog/evasao-de-alunos-escolinha-sinais,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/evasao-de-alunos-escolinha-sinais-pt-capa.webp?v3,True,True,True,True,False,0
pt,Como captar novos alunos para a escolinha sem depender só da indicação,captar-novos-alunos-escolinha-futebol,https://widdo.co/pt/blog/captar-novos-alunos-escolinha-futebol,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/captar-novos-alunos-escolinha-futebol-pt-capa.webp?v3,True,True,True,True,False,0
pt,Grupo de WhatsApp com os pais: como organizar sem enlouquecer,grupo-whatsapp-pais-escolinha,https://widdo.co/pt/blog/grupo-whatsapp-pais-escolinha,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/grupo-whatsapp-pais-escolinha-pt-capa.webp?v3,True,True,True,True,False,0
pt,"Categorias de base: chamada, atestado e documentação em dia",gestao-categorias-de-base-documentacao,https://widdo.co/pt/blog/gestao-categorias-de-base-documentacao,NUEVA_CORRECTA,https://api.widdo.co/storage/blog/images/gestao-categorias-de-base-documentacao-pt-capa.webp?v3,True,True,True,True,False,0
