asset_key,post_id_observed,locale,post_slug,post_title,post_url,cover_file,hook_file,og_file,alt_text_proposed,hook_text,prompt_file,generation_status,assignment_status
es:adios-caos-whatsapp-escuela-deportiva,18,es,adios-caos-whatsapp-escuela-deportiva,Adiós al Caos del WhatsApp: Cómo Organizar la Comunicación de tu Escuela Deportiva,https://widdo.co/es/blog/adios-caos-whatsapp-escuela-deportiva,images/es/adios-caos-whatsapp-escuela-deportiva-es-portada.webp,images/es/adios-caos-whatsapp-escuela-deportiva-es-gancho.webp,images/es/adios-caos-whatsapp-escuela-deportiva-es-og.jpg,Mensajes acumulados contrastan con un aviso organizado junto a un entrenamiento de baloncesto.,Que el aviso no se pierda.,prompts/es/adios-caos-whatsapp-escuela-deportiva-es.md,not_generated,not_assigned
en:per-player-pricing-youth-sports-software,33,en,per-player-pricing-youth-sports-software,What Per-Player Pricing Actually Costs a Growing Club,https://widdo.co/en/blog/per-player-pricing-youth-sports-software,images/en/per-player-pricing-youth-sports-software-en-cover.webp,images/en/per-player-pricing-youth-sports-software-en-hook.webp,images/en/per-player-pricing-youth-sports-software-en-og.jpg,Growing youth basketball rosters alongside a rising software cost illustration.,Your roster grows. So does the bill.,prompts/en/per-player-pricing-youth-sports-software-en.md,not_generated,not_assigned
en:why-dues-collection-breaks-down,34,en,why-dues-collection-breaks-down,Why Dues Collection Breaks Down in Youth Sports Clubs,https://widdo.co/en/blog/why-dues-collection-breaks-down,images/en/why-dues-collection-breaks-down-en-cover.webp,images/en/why-dues-collection-breaks-down-en-hook.webp,images/en/why-dues-collection-breaks-down-en-og.jpg,A youth baseball club director organizes scattered dues records into a clear payment workflow.,Stop chasing. Start collecting.,prompts/en/why-dues-collection-breaks-down-en.md,not_generated,not_assigned
en:attendance-tracking-youth-sports-clubs,35,en,attendance-tracking-youth-sports-clubs,Attendance Tracking Coaches Will Actually Use,https://widdo.co/en/blog/attendance-tracking-youth-sports-clubs,images/en/attendance-tracking-youth-sports-clubs-en-cover.webp,images/en/attendance-tracking-youth-sports-clubs-en-hook.webp,images/en/attendance-tracking-youth-sports-clubs-en-og.jpg,A volleyball coach records team attendance on a phone beside the court.,Attendance without the clipboard.,prompts/en/attendance-tracking-youth-sports-clubs-en.md,not_generated,not_assigned
en:signals-player-about-to-leave-club,36,en,signals-player-about-to-leave-club,The Signals a Player Is About to Leave Your Club,https://widdo.co/en/blog/signals-player-about-to-leave-club,images/en/signals-player-about-to-leave-club-en-cover.webp,images/en/signals-player-about-to-leave-club-en-hook.webp,images/en/signals-player-about-to-leave-club-en-og.jpg,A youth hockey coach reviews missed practices before speaking with a player and family.,Notice before they leave.,prompts/en/signals-player-about-to-leave-club-en.md,not_generated,not_assigned
en:registration-season-checklist-youth-sports,37,en,registration-season-checklist-youth-sports,The Registration Season Checklist for Youth Clubs,https://widdo.co/en/blog/registration-season-checklist-youth-sports,images/en/registration-season-checklist-youth-sports-en-cover.webp,images/en/registration-season-checklist-youth-sports-en-hook.webp,images/en/registration-season-checklist-youth-sports-en-og.jpg,A parent completes youth softball registration beside an organized season checklist.,Ready before the first practice.,prompts/en/registration-season-checklist-youth-sports-en.md,not_generated,not_assigned
en:parent-communication-sports-club,38,en,parent-communication-sports-club,The Group Text Is Not a Communication System,https://widdo.co/en/blog/parent-communication-sports-club,images/en/parent-communication-sports-club-en-cover.webp,images/en/parent-communication-sports-club-en-hook.webp,images/en/parent-communication-sports-club-en-og.jpg,Overlapping team messages contrast with one organized basketball practice announcement.,The update got buried.,prompts/en/parent-communication-sports-club-en.md,not_generated,not_assigned
pt:reduzir-inadimplencia-mensalidades-escolinha,39,pt,reduzir-inadimplencia-mensalidades-escolinha,Como reduzir a inadimplência de mensalidades na sua escolinha,https://widdo.co/pt/blog/reduzir-inadimplencia-mensalidades-escolinha,images/pt/reduzir-inadimplencia-mensalidades-escolinha-pt-capa.webp,images/pt/reduzir-inadimplencia-mensalidades-escolinha-pt-chamada.webp,images/pt/reduzir-inadimplencia-mensalidades-escolinha-pt-og.jpg,Coordenadora de uma escola de natação organiza mensalidades e lembretes em um celular.,Mensalidade sem correria.,prompts/pt/reduzir-inadimplencia-mensalidades-escolinha-pt.md,not_generated,not_assigned
pt:pix-boleto-cartao-mensalidades-clube-esportivo,40,pt,pix-boleto-cartao-mensalidades-clube-esportivo,"Pix, boleto ou cartão: como receber as mensalidades do clube",https://widdo.co/pt/blog/pix-boleto-cartao-mensalidades-clube-esportivo,images/pt/pix-boleto-cartao-mensalidades-clube-esportivo-pt-capa.webp,images/pt/pix-boleto-cartao-mensalidades-clube-esportivo-pt-chamada.webp,images/pt/pix-boleto-cartao-mensalidades-clube-esportivo-pt-og.jpg,"Comparação editorial entre Pix, boleto e cartão para mensalidades de um clube esportivo.",Três meios. Uma decisão.,prompts/pt/pix-boleto-cartao-mensalidades-clube-esportivo-pt.md,not_generated,not_assigned
pt:evasao-de-alunos-escolinha-sinais,41,pt,evasao-de-alunos-escolinha-sinais,Evasão de alunos: os sinais que aparecem semanas antes da desistência,https://widdo.co/pt/blog/evasao-de-alunos-escolinha-sinais,images/pt/evasao-de-alunos-escolinha-sinais-pt-capa.webp,images/pt/evasao-de-alunos-escolinha-sinais-pt-chamada.webp,images/pt/evasao-de-alunos-escolinha-sinais-pt-og.jpg,Professor de vôlei observa faltas recorrentes e conversa com a família de um aluno.,Perceba antes da despedida.,prompts/pt/evasao-de-alunos-escolinha-sinais-pt.md,not_generated,not_assigned
pt:captar-novos-alunos-escolinha-futebol,42,pt,captar-novos-alunos-escolinha-futebol,Como captar novos alunos para a escolinha sem depender só da indicação,https://widdo.co/pt/blog/captar-novos-alunos-escolinha-futebol,images/pt/captar-novos-alunos-escolinha-futebol-pt-capa.webp,images/pt/captar-novos-alunos-escolinha-futebol-pt-chamada.webp,images/pt/captar-novos-alunos-escolinha-futebol-pt-og.jpg,Professor recebe uma família em uma aula experimental de futebol no bairro.,Da aula experimental à matrícula.,prompts/pt/captar-novos-alunos-escolinha-futebol-pt.md,not_generated,not_assigned
pt:grupo-whatsapp-pais-escolinha,43,pt,grupo-whatsapp-pais-escolinha,Grupo de WhatsApp com os pais: como organizar sem enlouquecer,https://widdo.co/pt/blog/grupo-whatsapp-pais-escolinha,images/pt/grupo-whatsapp-pais-escolinha-pt-capa.webp,images/pt/grupo-whatsapp-pais-escolinha-pt-chamada.webp,images/pt/grupo-whatsapp-pais-escolinha-pt-og.jpg,Avisos organizados e conversas separados na comunicação de uma escola de artes marciais.,Aviso não é conversa.,prompts/pt/grupo-whatsapp-pais-escolinha-pt.md,not_generated,not_assigned
pt:gestao-categorias-de-base-documentacao,44,pt,gestao-categorias-de-base-documentacao,"Categorias de base: chamada, atestado e documentação em dia",https://widdo.co/pt/blog/gestao-categorias-de-base-documentacao,images/pt/gestao-categorias-de-base-documentacao-pt-capa.webp,images/pt/gestao-categorias-de-base-documentacao-pt-chamada.webp,images/pt/gestao-categorias-de-base-documentacao-pt-og.jpg,Professor organiza chamada e documentos de alunos junto a uma quadra de basquete.,Tudo em dia para treinar.,prompts/pt/gestao-categorias-de-base-documentacao-pt.md,not_generated,not_assigned
