asset_key,locale,post_slug,post_title,post_url,image_file,featured_image_alt,post_id_observed,width,height,bytes,sha256
es:tiktok-escuelas-deportivas-ideas-contenido,es,tiktok-escuelas-deportivas-ideas-contenido,TikTok para Escuelas Deportivas: Ideas de Contenido que Atraen Alumnos,https://widdo.co/es/blog/tiktok-escuelas-deportivas-ideas-contenido,images/es/tiktok-escuelas-deportivas-ideas-contenido-es-portada.webp,Composición editorial de un ejercicio de básquet grabado en formato vertical para contenido de TikTok.,23,1600,900,223344,594c32357f99abf8c52970162e609de635afe0c3de7545a047641c1799b08732
es:razones-abandono-alumnos-escuela-deportiva,es,razones-abandono-alumnos-escuela-deportiva,5 Razones por las que los Alumnos Abandonan tu Escuela (y Cómo Evitarlo),https://widdo.co/es/blog/razones-abandono-alumnos-escuela-deportiva,images/es/razones-abandono-alumnos-escuela-deportiva-es-portada.webp,"Un entrenador de voleibol escucha a un alumno junto a la cancha, con marcas de asistencia que sugieren seguimiento de sus ausencias.",22,1600,900,121494,b83dcfcf17300cc72e9d6f279cea40f6ce70bca678ef11462ee2b9ee5d1c1168
es:reducir-morosidad-club-deportivo-cobros,es,reducir-morosidad-club-deportivo-cobros,Cómo Reducir la Morosidad en tu Club Deportivo: Guía Práctica de Cobros,https://widdo.co/es/blog/reducir-morosidad-club-deportivo-cobros,images/es/reducir-morosidad-club-deportivo-cobros-es-portada.webp,"Registro de mensualidades con estados pagado, pendiente y vencido junto a un recordatorio de pago en la recepción de un club de natación.",21,1600,900,148538,80cb0dcabaf5e610298b1a11a99591e60768dd09d579b1319fd9c2cdfbf83305
es:guia-instagram-clubes-deportivos,es,guia-instagram-clubes-deportivos,Guía Completa de Instagram para Clubes Deportivos: Del Cero al Engagement,https://widdo.co/es/blog/guia-instagram-clubes-deportivos,images/es/guia-instagram-clubes-deportivos-es-portada.webp,"Collage editorial de entrenamiento de básquet, un logro en natación y un testimonio familiar como ideas de contenido para Instagram.",20,1600,900,170052,05dd37fae97a4a49b77e8178eb0493192b3cf307d08456d445a543fdaaed6d70
es:estrategias-marketing-escuelas-futbol-colombia,es,estrategias-marketing-escuelas-futbol-colombia,7 Estrategias de Marketing que Funcionan para Escuelas de Fútbol en Colombia,https://widdo.co/es/blog/estrategias-marketing-escuelas-futbol-colombia,images/es/estrategias-marketing-escuelas-futbol-colombia-es-portada.webp,"Ilustración de una escuela de fútbol de barrio en Colombia conectada con familias, un colegio y canales de comunicación locales.",19,1600,900,280770,91ed7887b1385c490fb577a148b9e9b757f62bfb6dad17c253a44b013691a933
es:adios-caos-whatsapp-escuela-deportiva,es,adios-caos-whatsapp-escuela-deportiva,Adiós al Caos del WhatsApp: Cómo Organizar la Comunicación de tu Escuela Deportiva,https://widdo.co/es/blog/adios-caos-whatsapp-escuela-deportiva,images/es/adios-caos-whatsapp-escuela-deportiva-es-portada.webp,Mensajes y audios dispersos se ordenan en un único aviso de entrenamiento para un equipo juvenil de básquet.,18,1600,900,158762,752d7209da31ea594f97f954c30a0106910b70dbdf7adf145cba8308b24199d2
en:per-player-pricing-youth-sports-software,en,per-player-pricing-youth-sports-software,What Per-Player Pricing Actually Costs a Growing Club,https://widdo.co/en/blog/per-player-pricing-youth-sports-software,images/en/per-player-pricing-youth-sports-software-en-cover.webp,"Editorial illustration of a growing youth basketball roster beside an expanding invoice, showing how per-player charges scale with club size.",33,1600,900,117286,e86ee04cfb8325805dabdfbe39ad8f353fe1d8b927f5d74429ed068f71d56f4d
en:why-dues-collection-breaks-down,en,why-dues-collection-breaks-down,Why Dues Collection Breaks Down in Youth Sports Clubs,https://widdo.co/en/blog/why-dues-collection-breaks-down,images/en/why-dues-collection-breaks-down-en-cover.webp,"Baseball club dues notes organized into a clear sequence of amount, due date, reminder and payment status.",34,1600,900,197164,061429318248d8e070cdc769d934325156a4886d5d23c1629321e12d3605d491
en:attendance-tracking-youth-sports-clubs,en,attendance-tracking-youth-sports-clubs,Attendance Tracking Coaches Will Actually Use,https://widdo.co/en/blog/attendance-tracking-youth-sports-clubs,images/en/attendance-tracking-youth-sports-clubs-en-cover.webp,Illustrated volleyball coach marking a simple attendance list on a phone beside an indoor court.,35,1600,900,141016,bb4020ba562179583bbffee3e391f47838847a49b398b4cdf453d6a91662a5f4
en:signals-player-about-to-leave-club,en,signals-player-about-to-leave-club,The Signals a Player Is About to Leave Your Club,https://widdo.co/en/blog/signals-player-about-to-leave-club,images/en/signals-player-about-to-leave-club-en-cover.webp,"An attendance timeline leads to a supportive conversation between a hockey coach, a player and a parent about early signs of disengagement.",36,1600,900,143888,c269dfd334a849b333f0f03902f3420419d6edaf501f30dcab77bdeed80454db
en:registration-season-checklist-youth-sports,en,registration-season-checklist-youth-sports,The Registration Season Checklist for Youth Clubs,https://widdo.co/en/blog/registration-season-checklist-youth-sports,images/en/registration-season-checklist-youth-sports-en-cover.webp,"Softball equipment beside a season registration checklist organized into before, during and after phases.",37,1600,900,168822,c186475b9be6d9dec8f467d80b2ded938ca6d6179bd83ae14f2b05ee7c8f30a5
en:parent-communication-sports-club,en,parent-communication-sports-club,The Group Text Is Not a Communication System,https://widdo.co/en/blog/parent-communication-sports-club,images/en/parent-communication-sports-club-en-cover.webp,"An important basketball practice update emerges from overlapping group messages, illustrating how announcements get buried.",38,1600,900,221444,4dea69e68174db597be43d746b5a130e4d0158a783feb8540156688f2641e9f1
pt:reduzir-inadimplencia-mensalidades-escolinha,pt,reduzir-inadimplencia-mensalidades-escolinha,Como reduzir a inadimplência de mensalidades na sua escolinha,https://widdo.co/pt/blog/reduzir-inadimplencia-mensalidades-escolinha,images/pt/reduzir-inadimplencia-mensalidades-escolinha-pt-capa.webp,"Registro de mensalidade de uma escolinha de natação com vencimento, lembrete e estados em aberto e pago.",39,1600,900,157696,9dd941ca4b6ccf5b7671a6875a5ce7150c4bb774028a90ccfcc903cccb979eba
pt:pix-boleto-cartao-mensalidades-clube-esportivo,pt,pix-boleto-cartao-mensalidades-clube-esportivo,"Pix, boleto ou cartão: como receber as mensalidades do clube",https://widdo.co/pt/blog/pix-boleto-cartao-mensalidades-clube-esportivo,images/pt/pix-boleto-cartao-mensalidades-clube-esportivo-pt-capa.webp,"Comparação editorial de Pix, boleto e cartão representados por símbolos ilustrativos, sem indicar integrações disponíveis na Widdo.",40,1600,900,172410,ded5b432ef3d1612683aa12ab9fc580f3865110ace33a5ea6e1496ed6b9b6c01
pt:evasao-de-alunos-escolinha-sinais,pt,evasao-de-alunos-escolinha-sinais,Evasão de alunos: os sinais que aparecem semanas antes da desistência,https://widdo.co/pt/blog/evasao-de-alunos-escolinha-sinais,images/pt/evasao-de-alunos-escolinha-sinais-pt-capa.webp,Calendário com redução de presença e participação conduz a uma conversa entre professor e família em uma escolinha de vôlei.,41,1600,900,158720,abf380d985979b5a0fb1508c3b308d6efd2fb626026d603b90d6dc587649648c
pt:captar-novos-alunos-escolinha-futebol,pt,captar-novos-alunos-escolinha-futebol,Como captar novos alunos para a escolinha sem depender só da indicação,https://widdo.co/pt/blog/captar-novos-alunos-escolinha-futebol,images/pt/captar-novos-alunos-escolinha-futebol-pt-capa.webp,"Mapa de bairro conectado a uma aula experimental de futebol, mostrando o caminho de conhecer a escolinha até a matrícula.",42,1600,900,232244,0243a8ab303bbadf211681a88033cbd060d8ea35c21b323b76c4501fd6ef6060
pt:grupo-whatsapp-pais-escolinha,pt,grupo-whatsapp-pais-escolinha,Grupo de WhatsApp com os pais: como organizar sem enlouquecer,https://widdo.co/pt/blog/grupo-whatsapp-pais-escolinha,images/pt/grupo-whatsapp-pais-escolinha-pt-capa.webp,"Conversas de responsáveis separadas dos avisos da turma, com um comunicado de treino e elementos de um dojo.",43,1600,900,172334,5da87349e19084402a677872cd45dd9110a07364338f6b4695485e3e3dc28abe
pt:gestao-categorias-de-base-documentacao,pt,gestao-categorias-de-base-documentacao,"Categorias de base: chamada, atestado e documentação em dia",https://widdo.co/pt/blog/gestao-categorias-de-base-documentacao,images/pt/gestao-categorias-de-base-documentacao-pt-capa.webp,"Pasta de um aluno de basquete organizada com chamada, atestado, autorização e contato de emergência, usando documentos ilustrativos.",44,1600,900,173362,139e397526a7d8960b903c5d6170e1f17e8e3c4d39b87d2e24f8892103e99153
